Symbol,Company Name,Exchange,Sector
LON:0KOC,The Progressive Corporation,London Stock Exchange,Financials
LON:0R0T,Amgen Inc.,London Stock Exchange,
LON:0M6S,Allianz SE,London Stock Exchange,
LON:0QZZ,"BlackRock, Inc.",London Stock Exchange,Financials
LON:0HKY,BYD Company Limited,London Stock Exchange,
LON:0VSO,BYD Company Limited,London Stock Exchange,
LON:0K80,"NextEra Energy, Inc.",London Stock Exchange,Utilities
LON:0ADF,Arm Holdings plc,London Stock Exchange,
LON:0KVV,Airbus SE,London Stock Exchange,
LON:0R2S,Stryker Corporation,London Stock Exchange,Healthcare
LON:0HOY,Boston Scientific Corporation,London Stock Exchange,Healthcare
LON:0NWV,Schneider Electric S.E.,London Stock Exchange,
LON:0R01,Citigroup Inc.,London Stock Exchange,Financials
LON:0R2B,Danaher Corporation,London Stock Exchange,Healthcare
LON:0A2S,PDD Holdings Inc.,London Stock Exchange,
LON:0SPT,Spotify Technology S.A.,London Stock Exchange,
LON:0LCE,"The TJX Companies, Inc.",London Stock Exchange,Consumer Discretionary
LON:0R2P,Deere & Company,London Stock Exchange,Industrials
LON:0A22,Anheuser-Busch InBev SA/NV,London Stock Exchange,
LON:0RJI,Anheuser-Busch InBev SA/NV,London Stock Exchange,
LON:0R1A,"Applied Materials, Inc.",London Stock Exchange,Technology
LON:0VHA,Shopify Inc.,London Stock Exchange,Technology
LON:0Q1N,Pfizer Inc.,London Stock Exchange,
LON:0QYQ,"Gilead Sciences, Inc.",London Stock Exchange,
LON:0A30,TotalEnergies SE,London Stock Exchange,
LON:TTE,TotalEnergies SE,London Stock Exchange,Energy
LON:0R2E,Union Pacific Corporation,London Stock Exchange,Industrials
LON:0QYF,Comcast Corporation,London Stock Exchange,Communication Services
LON:0OMK,EssilorLuxottica Société anonyme,London Stock Exchange,
LON:0KF5,"Palo Alto Networks, Inc.",London Stock Exchange,Technology
LON:0ADE,AppLovin Corporation,London Stock Exchange,
LON:0HJI,"Automatic Data Processing, Inc.",London Stock Exchange,Technology
LON:0R2T,"Micron Technology, Inc.",London Stock Exchange,
LON:0HN3,BHP Group Limited,London Stock Exchange,
LON:BHP,BHP Group Limited,London Stock Exchange,Materials
LON:0Y3K,Eaton Corporation plc,London Stock Exchange,Industrials
LON:0JVQ,"Lowe's Companies, Inc.",London Stock Exchange,Consumer Discretionary
LON:0IU8,Safran SA,London Stock Exchange,
LON:0A28,Prosus N.V.,London Stock Exchange,Communication Services
LON:0VL8,The Toronto-Dominion Bank,London Stock Exchange,Financials
LON:0A2V,Sanofi,London Stock Exchange,
LON:0O59,Sanofi,London Stock Exchange,
LON:0K0E,"MercadoLibre, Inc.",London Stock Exchange,Consumer Discretionary
LON:0NWF,L'Air Liquide S.A.,London Stock Exchange,
LON:0A7M,ICICI Bank Limited,London Stock Exchange,
LON:BNC,"Banco Santander, S.A.",London Stock Exchange,Financials
LON:0HLE,"Banco Santander, S.A.",London Stock Exchange,
LON:0HHR,Arista Networks Inc,London Stock Exchange,Technology
LON:0JT5,Lam Research Corporation,London Stock Exchange,Technology
LON:0HFN,"Analog Devices, Inc.",London Stock Exchange,Technology
LON:0A3N,"CrowdStrike Holdings, Inc.",London Stock Exchange,
LON:0HIT,"Iberdrola, S.A.",London Stock Exchange,
LON:0QZA,ConocoPhillips,London Stock Exchange,Energy
LON:0VQD,Chubb Limited,London Stock Exchange,Financials
LON:0QZU,Vertex Pharmaceuticals Incorporated,London Stock Exchange,Healthcare
LON:0JPO,KLA Corporation,London Stock Exchange,Technology
LON:0Y6X,Medtronic plc,London Stock Exchange,Healthcare
LON:0HFB,Amphenol Corporation,London Stock Exchange,Technology
LON:0R3E,Lockheed Martin Corporation,London Stock Exchange,Industrials
LON:0HO8,Blackstone Inc.,London Stock Exchange,
LON:0QMU,Compagnie Financière Richemont SA,London Stock Exchange,Consumer Discretionary
LON:0Z1W,KKR & Co. Inc.,London Stock Exchange,Financials
LON:0A7O,MicroStrategy Incorporated,London Stock Exchange,Technology
LON:0NX2,ABB Ltd,London Stock Exchange,Industrials
LON:0A6W,ABB Ltd,London Stock Exchange,
LON:0HAR,AXA SA,London Stock Exchange,
LON:0QZH,Starbucks Corporation,London Stock Exchange,Consumer Discretionary
LON:0A76,British American Tobacco p.l.c.,London Stock Exchange,
LON:BATS,British American Tobacco p.l.c.,London Stock Exchange,Consumer Staples
LON:CYPC,"China Yangtze Power Co., Ltd.",London Stock Exchange,Utilities
LON:0R1F,Bristol-Myers Squibb Company,London Stock Exchange,Healthcare
LON:0RLS,UniCredit S.p.A.,London Stock Exchange,
LON:0KOD,"Prologis, Inc.",London Stock Exchange,Real Estate
LON:0JC3,"Intercontinental Exchange, Inc.",London Stock Exchange,Financials
LON:0KWZ,Rio Tinto Group,London Stock Exchange,
LON:RIO,Rio Tinto Group,London Stock Exchange,Materials
