Symbol,Company Name,Exchange,Sector
ASX:HUB,HUB24 Limited,Australian Securities Exchange,Financials
ASX:TWE,Treasury Wine Estates Limited,Australian Securities Exchange,Consumer Staples
ASX:SDF,Steadfast Group Limited,Australian Securities Exchange,Financials
ASX:GQG,GQG Partners Inc.,Australian Securities Exchange,Financials
ASX:CWY,Cleanaway Waste Management Limited,Australian Securities Exchange,Industrials
ASX:ALD,Ampol Limited,Australian Securities Exchange,Energy
ASX:A2M,The a2 Milk Company Limited,Australian Securities Exchange,Consumer Staples
ASX:NXG,NexGen Energy Ltd.,Australian Securities Exchange,Energy
ASX:CGF,Challenger Limited,Australian Securities Exchange,Financials
ASX:SFR,Sandfire Resources Limited,Australian Securities Exchange,Materials
ASX:BOQ,Bank of Queensland Limited,Australian Securities Exchange,Financials
ASX:AZJ,Aurizon Holdings Limited,Australian Securities Exchange,Industrials
ASX:PRU,Perseus Mining Limited,Australian Securities Exchange,Materials
ASX:GMD,Genesis Minerals Limited,Australian Securities Exchange,Materials
ASX:DNL,Dyno Nobel Limited,Australian Securities Exchange,Materials
ASX:CGFPD,Challenger Limited,Australian Securities Exchange,Financials
ASX:BKW,Brickworks Limited,Australian Securities Exchange,Materials
ASX:MIN,Mineral Resources Limited,Australian Securities Exchange,Materials
ASX:WHC,Whitehaven Coal Limited,Australian Securities Exchange,Energy
ASX:APE,Eagers Automotive Limited,Australian Securities Exchange,Consumer Discretionary
ASX:ANN,Ansell Limited,Australian Securities Exchange,Healthcare
ASX:PNI,Pinnacle Investment Management Group Limited,Australian Securities Exchange,Financials
ASX:PLS,Pilbara Minerals Limited,Australian Securities Exchange,Materials
ASX:BRG,Breville Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:AUB,AUB Group Limited,Australian Securities Exchange,Financials
ASX:DOW,Downer EDI Limited,Australian Securities Exchange,Industrials
ASX:SPK,Spark New Zealand Limited,Australian Securities Exchange,Communication Services
ASX:VNT,Ventia Services Group Limited,Australian Securities Exchange,Industrials
ASX:CMM,Capricorn Metals Ltd,Australian Securities Exchange,Materials
ASX:LLC,Lendlease Group,Australian Securities Exchange,Real Estate
ASX:MTS,Metcash Limited,Australian Securities Exchange,Consumer Staples
ASX:LOV,Lovisa Holdings Limited,Australian Securities Exchange,Consumer Discretionary
ASX:GOR,Gold Road Resources Limited,Australian Securities Exchange,Materials
ASX:RRL,Regis Resources Limited,Australian Securities Exchange,Materials
ASX:BFL,BSP Financial Group Limited,Australian Securities Exchange,Financials
ASX:CNU,Chorus Limited,Australian Securities Exchange,Communication Services
ASX:CDA,Codan Limited,Australian Securities Exchange,Technology
ASX:RWC,Reliance Worldwide Corporation Limited,Australian Securities Exchange,Industrials
ASX:NSR,National Storage REIT,Australian Securities Exchange,Real Estate
ASX:PMV,Premier Investments Limited,Australian Securities Exchange,Consumer Discretionary
ASX:RMS,Ramelius Resources Limited,Australian Securities Exchange,Materials
ASX:IGO,IGO Limited,Australian Securities Exchange,Materials
ASX:VEA,Viva Energy Group Limited,Australian Securities Exchange,Energy
ASX:NHF,nib holdings limited,Australian Securities Exchange,Financials
ASX:NHC,New Hope Corporation Limited,Australian Securities Exchange,Energy
ASX:SUL,Super Retail Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:AMP,AMP Limited,Australian Securities Exchange,Financials
ASX:NIC,Nickel Industries Limited,Australian Securities Exchange,Materials
ASX:BPT,Beach Energy Limited,Australian Securities Exchange,Energy
ASX:ZIP,Zip Co Limited,Australian Securities Exchange,Financials
ASX:CLW,Charter Hall Long WALE REIT,Australian Securities Exchange,Real Estate
ASX:WGX,Westgold Resources Limited,Australian Securities Exchange,Materials
ASX:FBU,Fletcher Building Limited,Australian Securities Exchange,Materials
ASX:SGM,Sims Limited,Australian Securities Exchange,Materials
ASX:GYG,Guzman y Gomez Limited,Australian Securities Exchange,Consumer Discretionary
ASX:EMR,Emerald Resources NL,Australian Securities Exchange,Materials
ASX:FLT,Flight Centre Travel Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:VAU,Vault Minerals Limited,Australian Securities Exchange,Materials
ASX:SPR,Spartan Resources Limited,Australian Securities Exchange,Materials
ASX:RGN,Region Group,Australian Securities Exchange,Real Estate
ASX:TUA,Tuas Limited,Australian Securities Exchange,Communication Services
ASX:DHG,Domain Holdings Australia Limited,Australian Securities Exchange,Communication Services
ASX:TPW,Temple & Webster Group Ltd,Australian Securities Exchange,Consumer Discretionary
ASX:HDN,HomeCo Daily Needs REIT,Australian Securities Exchange,Real Estate
ASX:PDN,Paladin Energy Ltd,Australian Securities Exchange,Energy
ASX:ARB,ARB Corporation Limited,Australian Securities Exchange,Consumer Discretionary
ASX:EVT,EVT Limited,Australian Securities Exchange,Communication Services
ASX:WAF,West African Resources Limited,Australian Securities Exchange,Materials
ASX:ASB,Austal Limited,Australian Securities Exchange,Industrials
ASX:BWP,BWP Trust,Australian Securities Exchange,Real Estate
ASX:MFF,MFF Capital Investments Limited,Australian Securities Exchange,Financials
ASX:NEC,Nine Entertainment Co. Holdings Limited,Australian Securities Exchange,Communication Services
ASX:SNZ,Summerset Group Holdings Limited,Australian Securities Exchange,Healthcare
ASX:ORA,Orora Limited,Australian Securities Exchange,Consumer Discretionary
ASX:MSB,Mesoblast Limited,Australian Securities Exchange,Healthcare
ASX:CIA,Champion Iron Limited,Australian Securities Exchange,Materials
ASX:IFL,Insignia Financial Ltd.,Australian Securities Exchange,Financials
ASX:CQR,Charter Hall Retail REIT,Australian Securities Exchange,Real Estate
ASX:GNE,Genesis Energy Limited,Australian Securities Exchange,Utilities
ASX:INA,Ingenia Communities Group,Australian Securities Exchange,Real Estate
ASX:REG,Regis Healthcare Limited,Australian Securities Exchange,Healthcare
ASX:MP1,Megaport Limited,Australian Securities Exchange,Technology
ASX:GDG,Generation Development Group Limited,Australian Securities Exchange,Financials
ASX:PXA,PEXA Group Limited,Australian Securities Exchange,Technology
ASX:PPT,Perpetual Limited,Australian Securities Exchange,Financials
ASX:DRR,Deterra Royalties Limited,Australian Securities Exchange,Materials
ASX:HMC,HMC Capital Limited,Australian Securities Exchange,Real Estate
ASX:DGT,DigiCo Infrastructure REIT,Australian Securities Exchange,Real Estate
ASX:ASK,Abacus Storage King,Australian Securities Exchange,Real Estate
ASX:DBI,Dalrymple Bay Infrastructure Limited,Australian Securities Exchange,Industrials
ASX:CIP,Centuria Industrial REIT,Australian Securities Exchange,Real Estate
ASX:DMP,Domino's Pizza Enterprises Limited,Australian Securities Exchange,Consumer Discretionary
ASX:OBM,Ora Banda Mining Limited,Australian Securities Exchange,Materials
ASX:CTD,Corporate Travel Management Limited,Australian Securities Exchange,Consumer Discretionary
ASX:GOZ,Growthpoint Properties Australia,Australian Securities Exchange,Real Estate
ASX:FRW,Freightways Group Limited,Australian Securities Exchange,Industrials
ASX:ZIM,Zimplats Holdings Limited,Australian Securities Exchange,Materials
ASX:WEB,Web Travel Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:AIZ,Air New Zealand Limited,Australian Securities Exchange,Industrials
ASX:OCL,Objective Corporation Limited,Australian Securities Exchange,Technology
ASX:BAP,Bapcor Limited,Australian Securities Exchange,Consumer Discretionary
ASX:ADT,Adriatic Metals PLC,Australian Securities Exchange,Materials
ASX:SX2,Southern Cross Gold Consolidated Ltd.,Australian Securities Exchange,Materials
ASX:SMR,Stanmore Resources Limited,Australian Securities Exchange,Materials
ASX:NEU,Neuren Pharmaceuticals Limited,Australian Securities Exchange,Healthcare
ASX:GNC,GrainCorp Limited,Australian Securities Exchange,Consumer Staples
ASX:CAT,Catapult Group International Ltd,Australian Securities Exchange,Technology
ASX:WPR,Waypoint REIT,Australian Securities Exchange,Real Estate
ASX:SNL,Supply Network Limited,Australian Securities Exchange,Consumer Discretionary
ASX:MND,Monadelphous Group Limited,Australian Securities Exchange,Industrials
ASX:BGA,Bega Cheese Limited,Australian Securities Exchange,Consumer Staples
ASX:JDO,Judo Capital Holdings Limited,Australian Securities Exchange,Financials
ASX:TAH,Tabcorp Holdings Limited,Australian Securities Exchange,Consumer Discretionary
ASX:CYL,Catalyst Metals Limited,Australian Securities Exchange,Materials
ASX:MAQ,Macquarie Technology Group Limited,Australian Securities Exchange,Technology
ASX:BOE,Boss Energy Limited,Australian Securities Exchange,Energy
ASX:ILU,Iluka Resources Limited,Australian Securities Exchange,Materials
ASX:NCK,Nick Scali Limited,Australian Securities Exchange,Consumer Discretionary
ASX:LTR,Liontown Resources Limited,Australian Securities Exchange,Materials
ASX:ARF,Arena REIT,Australian Securities Exchange,Real Estate
ASX:MAC,MAC Copper Limited,Australian Securities Exchange,Materials
ASX:IRE,Iress Limited,Australian Securities Exchange,Technology
ASX:MGH,MAAS Group Holdings Limited,Australian Securities Exchange,Industrials
ASX:MFG,Magellan Financial Group Limited,Australian Securities Exchange,Financials
ASX:DDR,Dicker Data Limited,Australian Securities Exchange,Technology
ASX:PRN,Perenti Limited,Australian Securities Exchange,Materials
ASX:SLC,Superloop Limited,Australian Securities Exchange,Communication Services
ASX:DRO,DroneShield Limited,Australian Securities Exchange,Industrials
ASX:IMD,Imdex Limited,Australian Securities Exchange,Industrials
ASX:HLI,Helia Group Limited,Australian Securities Exchange,Financials
ASX:CNI,Centuria Capital Group,Australian Securities Exchange,Real Estate
ASX:ING,Inghams Group Limited,Australian Securities Exchange,Consumer Staples
ASX:BKI,BKI Investment Company Limited,Australian Securities Exchange,Financials
ASX:PNR,Pantoro Gold Limited,Australian Securities Exchange,Materials
ASX:BGL,Bellevue Gold Limited,Australian Securities Exchange,Materials
ASX:AUI,Australian United Investment Company Limited,Australian Securities Exchange,Financials
ASX:IPX,IperionX Limited,Australian Securities Exchange,Materials
ASX:NAN,Nanosonics Limited,Australian Securities Exchange,Healthcare
ASX:DYL,Deep Yellow Limited,Australian Securities Exchange,Energy
ASX:KAR,Karoon Energy Ltd,Australian Securities Exchange,Energy
ASX:SDR,SiteMinder Limited,Australian Securities Exchange,Technology
ASX:NWH,NRW Holdings Limited,Australian Securities Exchange,Industrials
ASX:IPH,IPH Limited,Australian Securities Exchange,Industrials
ASX:RSG,Resolute Mining Limited,Australian Securities Exchange,Materials
ASX:MAD,Mader Group Limited,Australian Securities Exchange,Industrials
ASX:MAF,MA Financial Group Limited,Australian Securities Exchange,Financials
ASX:ELD,Elders Limited,Australian Securities Exchange,Consumer Staples
ASX:GTK,Gentrack Group Limited,Australian Securities Exchange,Technology
ASX:SSM,Service Stream Limited,Australian Securities Exchange,Industrials
ASX:DVP,Develop Global Limited,Australian Securities Exchange,Materials
ASX:LFSPA,Latitude Group Holdings Limited,Australian Securities Exchange,Financials
ASX:ABB,Aussie Broadband Limited,Australian Securities Exchange,Communication Services
ASX:BGP,Briscoe Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:DUI,Diversified United Investment Limited,Australian Securities Exchange,Financials
ASX:DTL,Data#3 Limited,Australian Securities Exchange,Technology
ASX:LFS,Latitude Group Holdings Limited,Australian Securities Exchange,Financials
ASX:CQE,Charter Hall Social Infrastructure REIT,Australian Securities Exchange,Real Estate
ASX:AX1,Accent Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:MMS,McMillan Shakespeare Limited,Australian Securities Exchange,Industrials
ASX:RDX,Redox Limited,Australian Securities Exchange,Materials
ASX:BVS,Bravura Solutions Limited,Australian Securities Exchange,Technology
ASX:AOV,Amotiv Limited,Australian Securities Exchange,Consumer Discretionary
ASX:PDI,Predictive Discovery Limited,Australian Securities Exchange,Materials
ASX:ABG,Abacus Group,Australian Securities Exchange,Real Estate
ASX:UOS,United Overseas Australia Ltd,Australian Securities Exchange,Real Estate
ASX:IEL,IDP Education Limited,Australian Securities Exchange,Consumer Staples
ASX:HSN,Hansen Technologies Limited,Australian Securities Exchange,Technology
ASX:PL8,Plato Income Maximiser Limited,Australian Securities Exchange,Financials
ASX:ERA,Energy Resources of Australia Ltd,Australian Securities Exchange,Energy
ASX:AII,Almonty Industries Inc.,Australian Securities Exchange,Materials
ASX:RIC,Ridley Corporation Limited,Australian Securities Exchange,Consumer Staples
ASX:WA1,WA1 Resources Ltd,Australian Securities Exchange,Materials
ASX:LFG,Liberty Financial Group Limited,Australian Securities Exchange,Financials
ASX:A4N,Alpha HPA Limited,Australian Securities Exchange,Materials
ASX:CIN,Carlton Investments Ltd.,Australian Securities Exchange,Financials
ASX:SIQ,Smartgroup Corporation Ltd,Australian Securities Exchange,Industrials
ASX:VUL,Vulcan Energy Resources Limited,Australian Securities Exchange,Materials
ASX:DXI,Dexus Industria REIT,Australian Securities Exchange,Real Estate
ASX:CMW,Cromwell Property Group,Australian Securities Exchange,Real Estate
ASX:PNV,PolyNovo Limited,Australian Securities Exchange,Healthcare
ASX:CCP,Credit Corp Group Limited,Australian Securities Exchange,Financials
ASX:BCI,BCI Minerals Limited,Australian Securities Exchange,Materials
ASX:GEM,G8 Education Limited,Australian Securities Exchange,Consumer Staples
ASX:SRG,SRG Global Limited,Australian Securities Exchange,Industrials
ASX:CKF,Collins Foods Limited,Australian Securities Exchange,Consumer Discretionary
ASX:KLS,Kelsian Group Limited,Australian Securities Exchange,Industrials
ASX:OML,oOh!media Limited,Australian Securities Exchange,Communication Services
ASX:SLX,Silex Systems Limited,Australian Securities Exchange,Technology
ASX:CBO,Cobram Estate Olives Limited,Australian Securities Exchange,Consumer Staples
ASX:NUF,Nufarm Limited,Australian Securities Exchange,Materials
ASX:IDX,Integral Diagnostics Limited,Australian Securities Exchange,Healthcare
ASX:QAL,Qualitas Limited,Australian Securities Exchange,Financials
ASX:APZ,Aspen Group,Australian Securities Exchange,Real Estate
ASX:EQT,EQT Holdings Limited,Australian Securities Exchange,Financials
ASX:VSL,Vulcan Steel Limited,Australian Securities Exchange,Materials
ASX:BNDS,Betashares Legg Mason Australian Bond Fund,Australian Securities Exchange,Financials
ASX:DJW,Djerriwarrh Investments Limited,Australian Securities Exchange,Financials
ASX:BLX,Beacon Lighting Group Limited,Australian Securities Exchange,Consumer Discretionary
