Symbol,Company Name,Exchange,Sector
NSE:JIOFIN,Jio Financial Services Limited,National Stock Exchange of India,Financials
BOM:543257,Indian Railway Finance Corporation Limited,Bombay Stock Exchange,
NSE:IRFC,Indian Railway Finance Corporation Limited,National Stock Exchange of India,Financials
BOM:500300,Grasim Industries Limited,Bombay Stock Exchange,
NSE:GRASIM,Grasim Industries Limited,National Stock Exchange of India,Materials
BOM:500295,Vedanta Limited,Bombay Stock Exchange,
NSE:VEDL,Vedanta Limited,National Stock Exchange of India,Materials
BOM:540719,SBI Life Insurance Company Limited,Bombay Stock Exchange,
NSE:SBILIFE,SBI Life Insurance Company Limited,National Stock Exchange of India,Financials
BOM:532488,Divi's Laboratories Limited,Bombay Stock Exchange,
NSE:DIVISLAB,Divi's Laboratories Limited,National Stock Exchange of India,Healthcare
NSE:ADANIGREEN,Adani Green Energy Limited,National Stock Exchange of India,Utilities
BOM:541450,Adani Green Energy Limited,Bombay Stock Exchange,
BOM:540777,HDFC Life Insurance Company Limited,Bombay Stock Exchange,
NSE:HDFCLIFE,HDFC Life Insurance Company Limited,National Stock Exchange of India,Financials
BOM:540180,Varun Beverages Limited,Bombay Stock Exchange,
NSE:VBL,Varun Beverages Limited,National Stock Exchange of India,Consumer Staples
BOM:500490,Bajaj Holdings & Investment Limited,Bombay Stock Exchange,
NSE:BAJAJHLDNG,Bajaj Holdings & Investment Limited,National Stock Exchange of India,Financials
BOM:540005,LTIMindtree Limited,Bombay Stock Exchange,
NSE:LTIM,LTIMindtree Limited,National Stock Exchange of India,Technology
BOM:544274,Hyundai Motor India Limited,Bombay Stock Exchange,
NSE:HYUNDAI,Hyundai Motor India Limited,National Stock Exchange of India,Consumer Discretionary
BOM:500331,Pidilite Industries Limited,Bombay Stock Exchange,
NSE:PIDILITIND,Pidilite Industries Limited,National Stock Exchange of India,Materials
BOM:532725,Solar Industries India Limited,Bombay Stock Exchange,
NSE:SOLARINDS,Solar Industries India Limited,National Stock Exchange of India,Materials
BOM:505200,Eicher Motors Limited,Bombay Stock Exchange,
