Symbol,Company Name,Exchange,Sector
NEO:MMMM,3M Company,Cboe Canada,Industrials
TSX:BMO,Bank of Montreal,Toronto Stock Exchange,Financials
NEO:SFTB,SoftBank Group Corp.,Cboe Canada,
TSX:CSU,Constellation Software Inc.,Toronto Stock Exchange,Technology
TSX:CP,Canadian Pacific Kansas City Limited,Toronto Stock Exchange,Industrials
NEO:MTSU,Mitsubishi Corporation,Cboe Canada,
NEO:PYPL,"PayPal Holdings, Inc.",Cboe Canada,Financials
NEO:CMGS,"Chipotle Mexican Grill, Inc.",Cboe Canada,Consumer Discretionary
TSX:CNQ,Canadian Natural Resources Limited,Toronto Stock Exchange,Energy
TSX:BNS,The Bank of Nova Scotia,Toronto Stock Exchange,Financials
TSX:CNR,Canadian National Railway Company,Toronto Stock Exchange,Industrials
TSX:CM,Canadian Imperial Bank of Commerce,Toronto Stock Exchange,Financials
NEO:INGS,ING Groep N.V.,Cboe Canada,Financials
TSX:AEM,Agnico Eagle Mines Limited,Toronto Stock Exchange,Materials
TSX:NGT,Newmont Corporation,Toronto Stock Exchange,Materials
NEO:BENZ,Mercedes-Benz Group AG,Cboe Canada,Consumer Discretionary
NEO:MB,Mercedes-Benz Group AG,Cboe Canada,
NEO:BMW,Bayerische Motoren Werke Aktiengesellschaft,Cboe Canada,Consumer Discretionary
TSX:MFC,Manulife Financial Corporation,Toronto Stock Exchange,Financials
NEO:VWA,Volkswagen AG,Cboe Canada,
TSX:TRP,TC Energy Corporation,Toronto Stock Exchange,Energy
TSX:ATD,Alimentation Couche-Tard Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:WCN,"Waste Connections, Inc.",Toronto Stock Exchange,Industrials
TSX:L,Loblaw Companies Limited,Toronto Stock Exchange,Consumer Staples
TSX:SU,Suncor Energy Inc.,Toronto Stock Exchange,Energy
NEO:OXY,Occidental Petroleum Corporation,Cboe Canada,Energy
NEO:F,Ford Motor Company,Cboe Canada,Consumer Discretionary
TSX:IFC,Intact Financial Corporation,Toronto Stock Exchange,Financials
TSX:WPM,Wheaton Precious Metals Corp.,Toronto Stock Exchange,Materials
TSX:NA,National Bank of Canada,Toronto Stock Exchange,Financials
TSX:IMO,Imperial Oil Limited,Toronto Stock Exchange,Energy
TSX:SLF,Sun Life Financial Inc.,Toronto Stock Exchange,Financials
TSX:FFH,Fairfax Financial Holdings Limited,Toronto Stock Exchange,Financials
TSXV:PUR,Premier American Uranium Inc.,TSX Venture Exchange,Energy
TSX:DOL,Dollarama Inc.,Toronto Stock Exchange,Consumer Staples
TSX:ABX,Barrick Mining Corporation,Toronto Stock Exchange,Materials
TSX:GWO,Great-West Lifeco Inc.,Toronto Stock Exchange,Financials
TSX:FNV,Franco-Nevada Corporation,Toronto Stock Exchange,Materials
NEO:LULU,lululemon athletica inc.,Cboe Canada,Consumer Discretionary
NEO:STZ,"Constellation Brands, Inc.",Cboe Canada,Consumer Staples
TSX:NTR,Nutrien Ltd.,Toronto Stock Exchange,Materials
TSX:CCO,Cameco Corporation,Toronto Stock Exchange,Energy
