Symbol,Company Name,Exchange,Sector
ETR:LOR,L'Oréal S.A.,Deutsche Börse Xetra,Consumer Staples
FRA:LOR,L'Oréal S.A.,Frankfurt Stock Exchange,
ETR:NOT,Novartis AG,Deutsche Börse Xetra,
ETR:ABL,Abbott Laboratories,Deutsche Börse Xetra,Healthcare
ETR:ZEG,AstraZeneca PLC,Deutsche Börse Xetra,Healthcare
FRA:ZEG,AstraZeneca PLC,Frankfurt Stock Exchange,
ETR:LIN,Linde plc,Deutsche Börse Xetra,Materials
FRA:LIN,Linde plc,Frankfurt Stock Exchange,
ETR:MDO,McDonald's Corporation,Deutsche Börse Xetra,Consumer Discretionary
FRA:MDO,McDonald's Corporation,Frankfurt Stock Exchange,
ETR:ITU,Intuit Inc.,Deutsche Börse Xetra,Technology
FRA:ITU,Intuit Inc.,Frankfurt Stock Exchange,
ETR:DWD,Morgan Stanley,Deutsche Börse Xetra,Financials
FRA:DWD,Morgan Stanley,Frankfurt Stock Exchange,
ETR:AEC1,American Express Company,Deutsche Börse Xetra,Financials
FRA:AEC1,American Express Company,Frankfurt Stock Exchange,
ETR:4S0,"ServiceNow, Inc.",Deutsche Börse Xetra,
FRA:4S0,"ServiceNow, Inc.",Frankfurt Stock Exchange,
ETR:R6C0,Shell plc,Deutsche Börse Xetra,Energy
FRA:R6C0,Shell plc,Frankfurt Stock Exchange,
ETR:WDP,The Walt Disney Company,Deutsche Börse Xetra,Communication Services
FRA:WDP,The Walt Disney Company,Frankfurt Stock Exchange,Communication Services
ETR:HBC1,HSBC Holdings plc,Deutsche Börse Xetra,Financials
FRA:HBC1,HSBC Holdings plc,Frankfurt Stock Exchange,
ETR:SOBA,AT&T Inc.,Deutsche Börse Xetra,Communication Services
FRA:SOBA,AT&T Inc.,Frankfurt Stock Exchange,
ETR:6MK,"Merck & Co., Inc.",Deutsche Börse Xetra,Healthcare
FRA:6MK,"Merck & Co., Inc.",Frankfurt Stock Exchange,
ETR:AMD,"Advanced Micro Devices, Inc.",Deutsche Börse Xetra,Technology
FRA:AMD,"Advanced Micro Devices, Inc.",Frankfurt Stock Exchange,
ETR:SIE,Siemens Aktiengesellschaft,Deutsche Börse Xetra,Industrials
FRA:SIE,Siemens Aktiengesellschaft,Frankfurt Stock Exchange,
ETR:IUI1,"Intuitive Surgical, Inc.",Deutsche Börse Xetra,
FRA:IUI1,"Intuitive Surgical, Inc.",Frankfurt Stock Exchange,
FRA:5UR,RTX Corporation,Frankfurt Stock Exchange,
ETR:BAC,Verizon Communications Inc.,Deutsche Börse Xetra,Communication Services
FRA:BAC,Verizon Communications Inc.,Frankfurt Stock Exchange,
ETR:5UR,RTX Corporation,Deutsche Börse Xetra,Industrials
ETR:TII,Texas Instruments Incorporated,Deutsche Börse Xetra,Technology
FRA:DTE,Deutsche Telekom AG,Frankfurt Stock Exchange,
ETR:DTE,Deutsche Telekom AG,Deutsche Börse Xetra,Communication Services
ETR:UT8,"Uber Technologies, Inc.",Deutsche Börse Xetra,Technology
FRA:UT8,"Uber Technologies, Inc.",Frankfurt Stock Exchange,
FRA:TII,Texas Instruments Incorporated,Frankfurt Stock Exchange,
ETR:PEP,"PepsiCo, Inc.",Deutsche Börse Xetra,Consumer Staples
FRA:PEP,"PepsiCo, Inc.",Frankfurt Stock Exchange,
ETR:PCE1,Booking Holdings Inc.,Deutsche Börse Xetra,
FRA:PCE1,Booking Holdings Inc.,Frankfurt Stock Exchange,
ETR:GOS,"The Goldman Sachs Group, Inc.",Deutsche Börse Xetra,Financials
FRA:GOS,"The Goldman Sachs Group, Inc.",Frankfurt Stock Exchange,
FRA:RYC,Royal Bank of Canada,Frankfurt Stock Exchange,
ETR:ADB,Adobe Inc.,Deutsche Börse Xetra,Technology
FRA:ADB,Adobe Inc.,Frankfurt Stock Exchange,
